Comarca código,Comarca nombre,Municipio código,Municipio nombre,Provincia código,Provincia nombre
15,Ribera Alta del Ebro,50107,Figueruelas,50,Zaragoza
15,Ribera Alta del Ebro,50118,Gallur,50,Zaragoza
15,Ribera Alta del Ebro,50123,Grisén,50,Zaragoza
15,Ribera Alta del Ebro,50132,Joyosa (La),50,Zaragoza
15,Ribera Alta del Ebro,50147,Luceni,50,Zaragoza
15,Ribera Alta del Ebro,50204,Pedrola,50,Zaragoza
15,Ribera Alta del Ebro,50209,Pinseque,50,Zaragoza
15,Ribera Alta del Ebro,50212,Pleitas,50,Zaragoza
15,Ribera Alta del Ebro,50217,Pradilla de Ebro,50,Zaragoza
15,Ribera Alta del Ebro,50223,Remolinos,50,Zaragoza
15,Ribera Alta del Ebro,50247,Sobradiel,50,Zaragoza
15,Ribera Alta del Ebro,50262,Torres de Berrellén,50,Zaragoza
16,Valdejalón,50024,Almonacid de la Sierra,50,Zaragoza
16,Valdejalón,50025,Almunia de Doña Godina (La),50,Zaragoza
16,Valdejalón,50026,Alpartir,50,Zaragoza
16,Valdejalón,50044,Bardallur,50,Zaragoza
16,Valdejalón,50068,Calatorao,50,Zaragoza
16,Valdejalón,50093,Chodes,50,Zaragoza
16,Valdejalón,50099,Épila,50,Zaragoza
16,Valdejalón,50146,Lucena de Jalón,50,Zaragoza
16,Valdejalón,50150,Lumpiaque,50,Zaragoza
16,Valdejalón,50175,Morata de Jalón,50,Zaragoza
16,Valdejalón,50182,Muela (La),50,Zaragoza
16,Valdejalón,50211,Plasencia de Jalón,50,Zaragoza
16,Valdejalón,50225,Ricla,50,Zaragoza
16,Valdejalón,50228,Rueda de Jalón,50,Zaragoza
16,Valdejalón,50231,Salillas de Jalón,50,Zaragoza
16,Valdejalón,50236,Santa Cruz de Grío,50,Zaragoza
16,Valdejalón,50269,Urrea de Jalón,50,Zaragoza
17,Central,50017,Alfajarín,50,Zaragoza
17,Central,50056,Botorrita,50,Zaragoza
17,Central,50062,Burgo de Ebro (El),50,Zaragoza
17,Central,50066,Cadrete,50,Zaragoza
17,Central,50089,Cuarte de Huerva,50,Zaragoza
17,Central,50115,Fuentes de Ebro,50,Zaragoza
17,Central,50131,Jaulín,50,Zaragoza
17,Central,50163,María de Huerva,50,Zaragoza
17,Central,50164,Mediana de Aragón,50,Zaragoza
17,Central,50180,Mozota,50,Zaragoza
17,Central,50193,Nuez de Ebro,50,Zaragoza
17,Central,50199,Osera de Ebro,50,Zaragoza
17,Central,50203,Pastriz,50,Zaragoza
17,Central,50219,Puebla de Alfindén (La),50,Zaragoza
17,Central,50235,San Mateo de Gállego,50,Zaragoza
17,Central,50272,Utebo,50,Zaragoza
17,Central,50285,Villafranca de Ebro,50,Zaragoza
17,Central,50288,Villanueva de Gállego,50,Zaragoza
17,Central,50297,Zaragoza,50,Zaragoza
17,Central,50298,Zuera,50,Zaragoza
17,Central,50903,Villamayor de Gállego,50,Zaragoza
18,Ribera Baja del Ebro,50012,Alborge,50,Zaragoza
18,Ribera Baja del Ebro,50019,Alforque,50,Zaragoza
18,Ribera Baja del Ebro,50083,Cinco Olivas,50,Zaragoza
18,Ribera Baja del Ebro,50101,Escatrón,50,Zaragoza
18,Ribera Baja del Ebro,50119,Gelsa,50,Zaragoza
18,Ribera Baja del Ebro,50208,Pina de Ebro,50,Zaragoza
18,Ribera Baja del Ebro,50222,Quinto,50,Zaragoza
18,Ribera Baja del Ebro,50240,Sástago,50,Zaragoza
18,Ribera Baja del Ebro,50278,Velilla de Ebro,50,Zaragoza
